beta,rand,100,3,2757,1869,888
beta,rand,100,4,2313,1521,792
beta,rand,100,5,2169,1404,765
beta,rand,100,6,2036,1312,724
beta,rand,100,7,1927,1220,707
beta,rand,100,8,1871,1186,685
beta,rand,100,9,1743,1103,640
beta,rand,100,10,1710,1076,634
beta,rand,100,11,1623,1017,606
beta,rand,100,12,1569,975,594
beta,rand,100,13,1574,980,594
beta,rand,100,14,1522,944,578
beta,rand,100,15,1475,912,563
beta,rand,100,16,1471,908,563
beta,rand,100,17,1413,872,541
beta,rand,100,18,1360,831,529
beta,rand,100,19,1382,846,536
beta,rand,100,20,1341,822,519
beta,rand,100,21,1323,809,514
beta,rand,100,22,1272,777,495
beta,rand,100,23,1242,753,489
beta,rand,100,24,1281,775,506
beta,rand,100,25,1235,750,485
beta,rand,100,26,1210,727,483
beta,rand,100,27,1202,727,475
beta,rand,100,28,1198,726,472
beta,rand,100,29,1172,705,465
beta,rand,100,30,1151,687,463
beta,rand,100,31,1119,668,449
beta,rand,100,32,1129,674,454
beta,rand,100,33,1103,664,437
beta,rand,100,34,1109,668,440
beta,rand,100,35,1060,628,428
beta,rand,100,36,1039,623,414
beta,rand,100,37,1031,613,414
beta,rand,100,38,1041,619,422
beta,rand,100,39,1001,597,402
beta,rand,100,40,979,581,395
beta,rand,100,41,994,586,402
beta,rand,100,42,976,579,392
beta,rand,100,43,948,561,382
beta,rand,100,44,961,564,392
beta,rand,100,45,934,552,378
beta,rand,100,46,942,548,388
beta,rand,100,47,898,527,362
beta,rand,100,48,879,519,351
beta,rand,100,49,893,517,367
beta,rand,100,50,846,496,337
beta,rand,100,51,840,488,341
beta,rand,100,52,863,502,349
beta,rand,100,53,813,471,328
beta,rand,100,54,837,484,338
beta,rand,100,55,755,431,304
beta,rand,100,56,771,441,316
beta,rand,100,57,789,452,319
beta,rand,100,58,750,431,304
beta,rand,100,59,749,434,293
beta,rand,100,60,747,428,298
beta,rand,100,61,741,427,296
beta,rand,100,62,721,412,285
beta,rand,100,63,756,432,303
beta,rand,100,64,681,386,266
beta,rand,100,65,647,365,253
beta,rand,100,66,633,354,250
beta,rand,100,67,652,372,254
beta,rand,100,68,678,381,263
beta,rand,100,69,625,353,242
beta,rand,100,70,645,360,250
beta,rand,100,71,617,351,235
beta,rand,100,72,583,330,217
beta,rand,100,73,575,319,216
beta,rand,100,74,579,325,217
beta,rand,100,75,608,338,228
beta,rand,100,76,531,297,190
beta,rand,100,77,535,294,195
beta,rand,100,78,561,313,205
beta,rand,100,79,513,286,182
beta,rand,100,80,483,269,173
beta,rand,100,81,487,268,163
beta,rand,100,82,446,244,146
beta,rand,100,83,416,227,126
beta,rand,100,84,447,244,147
beta,rand,100,85,395,216,118
beta,rand,100,86,415,227,124
beta,rand,100,87,387,208,112
beta,rand,100,88,372,197,100
beta,rand,100,89,358,191,96
beta,rand,100,90,346,187,91
beta,rand,100,91,318,169,74
beta,rand,100,92,303,159,64
beta,rand,100,93,314,166,68
beta,rand,100,94,279,146,50
beta,rand,100,95,271,140,44
beta,rand,100,96,263,135,38
beta,rand,100,97,236,121,24
beta,rand,100,98,228,116,18
beta,rand,100,99,219,111,12
