delta,rand,100,3,432411,237246,195165
delta,rand,100,4,415278,222198,193080
delta,rand,100,5,403783,212858,190925
delta,rand,100,6,395555,206485,189070
delta,rand,100,7,388286,201181,187105
delta,rand,100,8,382131,197130,185001
delta,rand,100,9,376408,193466,182942
delta,rand,100,10,371105,190099,181006
delta,rand,100,11,365836,186954,178882
delta,rand,100,12,360366,183698,176668
delta,rand,100,13,355935,181172,174763
delta,rand,100,14,351698,178783,172915
delta,rand,100,15,347304,176302,171002
delta,rand,100,16,342555,173639,168916
delta,rand,100,17,338453,171421,167032
delta,rand,100,18,333940,169059,164881
delta,rand,100,19,329069,166398,162671
delta,rand,100,20,325092,164266,160825
delta,rand,100,21,320721,161960,158761
delta,rand,100,22,316259,159611,156648
delta,rand,100,23,311864,157346,154517
delta,rand,100,24,308118,155367,152751
delta,rand,100,25,304246,153351,150894
delta,rand,100,26,299484,150875,148609
delta,rand,100,27,295206,148721,146484
delta,rand,100,28,291090,146593,144497
delta,rand,100,29,287007,144481,142524
delta,rand,100,30,283069,142467,140601
delta,rand,100,31,279200,140464,138735
delta,rand,100,32,274474,138065,136409
delta,rand,100,33,270907,136190,134714
delta,rand,100,34,267193,134313,132877
delta,rand,100,35,262397,131868,130527
delta,rand,100,36,258222,129762,128457
delta,rand,100,37,254358,127760,126595
delta,rand,100,38,250705,125901,124801
delta,rand,100,39,246339,123725,122610
delta,rand,100,40,242642,121871,120770
delta,rand,100,41,238406,119661,118738
delta,rand,100,42,233680,117317,116358
delta,rand,100,43,230646,115740,114899
delta,rand,100,44,226659,113735,112916
delta,rand,100,45,222025,111384,110630
delta,rand,100,46,218726,109741,108970
delta,rand,100,47,213970,107319,106640
delta,rand,100,48,209854,105251,104592
delta,rand,100,49,205816,103232,102572
delta,rand,100,50,201491,101052,100429
delta,rand,100,51,198055,99296,98748
delta,rand,100,52,192965,96734,96217
delta,rand,100,53,188751,94612,94128
delta,rand,100,54,185407,92961,92434
delta,rand,100,55,181609,91027,90565
delta,rand,100,56,177418,88921,88479
delta,rand,100,57,173472,86932,86522
delta,rand,100,58,169023,84708,84302
delta,rand,100,59,165137,82759,82361
delta,rand,100,60,160557,80443,80093
delta,rand,100,61,157293,78811,78460
delta,rand,100,62,153221,76772,76428
delta,rand,100,63,148913,74599,74289
delta,rand,100,64,144762,72515,72218
delta,rand,100,65,140992,70633,70330
delta,rand,100,66,136978,68601,68344
delta,rand,100,67,133583,66917,66640
delta,rand,100,68,129756,64982,64738
delta,rand,100,69,124837,62523,62284
delta,rand,100,70,120515,60348,60128
delta,rand,100,71,116869,58531,58307
delta,rand,100,72,112420,56298,56081
delta,rand,100,73,108700,54420,54240
delta,rand,100,74,105322,52729,52547
delta,rand,100,75,99795,49949,49799
delta,rand,100,76,96659,48388,48228
delta,rand,100,77,92118,46124,45947
delta,rand,100,78,88412,44259,44106
delta,rand,100,79,84644,42369,42223
delta,rand,100,80,80296,40185,40058
delta,rand,100,81,77059,38574,38436
delta,rand,100,82,73250,36664,36527
delta,rand,100,83,68758,34412,34285
delta,rand,100,84,64487,32273,32149
delta,rand,100,85,60987,30527,30397
delta,rand,100,86,57106,28582,28458
delta,rand,100,87,52656,26348,26236
delta,rand,100,88,48853,24447,24336
delta,rand,100,89,44520,22275,22174
delta,rand,100,90,40434,20235,20124
delta,rand,100,91,36341,18182,18076
delta,rand,100,92,32203,16113,16012
delta,rand,100,93,28294,14154,14053
delta,rand,100,94,24092,12052,11955
delta,rand,100,95,19993,10001,9905
delta,rand,100,96,16381,8194,8098
delta,rand,100,97,12329,6167,6069
delta,rand,100,98,8152,4078,3979
delta,rand,100,99,4125,2063,1964
